scenario	iter	target	outcome
body-stable	1	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
body-stable	1	libHSdemo-core-0.1.0.0-inplace.a	hit
body-stable	1	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	hit
body-stable	1	libHSdemo-graph-0.1.0.0-inplace.a	hit
body-stable	1	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
body-stable	1	libHSdemo-codec-0.1.0.0-inplace.a	hit
body-stable	1	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	hit
body-stable	1	libHSdemo-engine-0.1.0.0-inplace.a	hit
body-stable	1	demo-app	hit
body-stable	2	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
body-stable	2	libHSdemo-core-0.1.0.0-inplace.a	hit
body-stable	2	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	hit
body-stable	2	libHSdemo-graph-0.1.0.0-inplace.a	hit
body-stable	2	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
body-stable	2	libHSdemo-codec-0.1.0.0-inplace.a	hit
body-stable	2	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	hit
body-stable	2	libHSdemo-engine-0.1.0.0-inplace.a	hit
body-stable	2	demo-app	hit
body-stable	3	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
body-stable	3	libHSdemo-core-0.1.0.0-inplace.a	hit
body-stable	3	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	hit
body-stable	3	libHSdemo-graph-0.1.0.0-inplace.a	hit
body-stable	3	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
body-stable	3	libHSdemo-codec-0.1.0.0-inplace.a	hit
body-stable	3	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	hit
body-stable	3	libHSdemo-engine-0.1.0.0-inplace.a	hit
body-stable	3	demo-app	hit
add-unexported	1	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
add-unexported	1	libHSdemo-core-0.1.0.0-inplace.a	hit
add-unexported	1	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	hit
add-unexported	1	libHSdemo-graph-0.1.0.0-inplace.a	hit
add-unexported	1	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
add-unexported	1	libHSdemo-codec-0.1.0.0-inplace.a	hit
add-unexported	1	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	hit
add-unexported	1	libHSdemo-engine-0.1.0.0-inplace.a	hit
add-unexported	1	demo-app	hit
add-unexported	2	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
add-unexported	2	libHSdemo-core-0.1.0.0-inplace.a	hit
add-unexported	2	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	hit
add-unexported	2	libHSdemo-graph-0.1.0.0-inplace.a	hit
add-unexported	2	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
add-unexported	2	libHSdemo-codec-0.1.0.0-inplace.a	hit
add-unexported	2	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	hit
add-unexported	2	libHSdemo-engine-0.1.0.0-inplace.a	hit
add-unexported	2	demo-app	hit
add-unexported	3	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
add-unexported	3	libHSdemo-core-0.1.0.0-inplace.a	hit
add-unexported	3	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	hit
add-unexported	3	libHSdemo-graph-0.1.0.0-inplace.a	hit
add-unexported	3	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
add-unexported	3	libHSdemo-codec-0.1.0.0-inplace.a	hit
add-unexported	3	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	hit
add-unexported	3	libHSdemo-engine-0.1.0.0-inplace.a	hit
add-unexported	3	demo-app	hit
add-exported	1	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	miss
add-exported	1	libHSdemo-core-0.1.0.0-inplace.a	miss
add-exported	1	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
add-exported	1	libHSdemo-codec-0.1.0.0-inplace.a	hit
add-exported	1	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
add-exported	1	libHSdemo-graph-0.1.0.0-inplace.a	miss
add-exported	1	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
add-exported	1	libHSdemo-engine-0.1.0.0-inplace.a	miss
add-exported	1	demo-app	miss
add-exported	2	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	miss
add-exported	2	libHSdemo-core-0.1.0.0-inplace.a	miss
add-exported	2	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
add-exported	2	libHSdemo-codec-0.1.0.0-inplace.a	hit
add-exported	2	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
add-exported	2	libHSdemo-graph-0.1.0.0-inplace.a	miss
add-exported	2	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
add-exported	2	libHSdemo-engine-0.1.0.0-inplace.a	miss
add-exported	2	demo-app	miss
add-exported	3	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	miss
add-exported	3	libHSdemo-core-0.1.0.0-inplace.a	miss
add-exported	3	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
add-exported	3	libHSdemo-codec-0.1.0.0-inplace.a	hit
add-exported	3	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
add-exported	3	libHSdemo-graph-0.1.0.0-inplace.a	miss
add-exported	3	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
add-exported	3	libHSdemo-engine-0.1.0.0-inplace.a	miss
add-exported	3	demo-app	miss
modify-type	1	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	miss
modify-type	1	libHSdemo-core-0.1.0.0-inplace.a	miss
modify-type	1	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
modify-type	1	libHSdemo-codec-0.1.0.0-inplace.a	hit
modify-type	1	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
modify-type	1	libHSdemo-graph-0.1.0.0-inplace.a	miss
modify-type	1	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
modify-type	1	libHSdemo-engine-0.1.0.0-inplace.a	miss
modify-type	1	demo-app	miss
modify-type	2	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	miss
modify-type	2	libHSdemo-core-0.1.0.0-inplace.a	miss
modify-type	2	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
modify-type	2	libHSdemo-codec-0.1.0.0-inplace.a	hit
modify-type	2	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
modify-type	2	libHSdemo-graph-0.1.0.0-inplace.a	miss
modify-type	2	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
modify-type	2	libHSdemo-engine-0.1.0.0-inplace.a	miss
modify-type	2	demo-app	miss
modify-type	3	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	miss
modify-type	3	libHSdemo-core-0.1.0.0-inplace.a	miss
modify-type	3	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
